category,name,slug,description,price,image,stock,is_active,created_at,updated_at
1,Black Half Sleeved Shirt,men_black_half_sleeved_shirt,Classic black half-sleeved shirt,29.99,products/men_black_half_sleeved_shirt.jpg,50,True,,
1,Brown Jacket,men_brown_jacket,Warm brown jacket,59.99,products/men_brown_jacket.jpg,30,True,,
1,Green Jacket,men_green_jacket,Stylish green jacket,59.99,products/men_green_jacket.jpeg,30,True,,
1,White T-Shirt,men_white_t-shirt,Casual white t-shirt,19.99,products/men_white_t-shirt.jpg,100,True,,
1,Grey Shirt,men_grey_shirt,Slim-fit grey shirt,25.99,products/men_grey_shirt.jpg,60,True,,
1,Khaki Chino Pants,men_khaki_chino_pants,Comfortable khaki chinos,39.99,products/men_khaki_chino_pants.jpeg,40,True,,
1,6-Inch Lace Up Boot,men_6-Inch_Lace_Up_Boot,Durable lace-up boots,79.99,products/men_6-Inch_Lace_Up_Boot.jpeg,25,True,,
1,Brown Formal Shoes,men_brown_formal_shoes,Classic brown formal shoes,69.99,products/men_brown_formal_shoes.jpeg,30,True,,
1,Ferrari Jacket,men_ferrari_jacket,Official Ferrari jacket,99.99,products/men_ferrari_jacket.jpeg,15,True,,
1,Fisherman Sandal,men_Fisherman_Sandal,Comfortable fisherman sandals,29.99,products/men_Fisherman_Sandal.jpeg,50,True,,
1,Nike Mocha Sneakers,men_nike_mocha_sneakers,Trendy mocha sneakers,89.99,products/men_nike_mocha_sneakers.jpeg,20,True,,
1,Soft Footbed Sandals,men_soft-footbed_sandals,Soft footbed sandals for daily use,34.99,products/men_soft-footbed_sandals.jpeg,40,True,,
1,Sneakers Sporty Braced,Mens_Sneakers_Sporty_braced,Sporty braced sneakers,59.99,products/Mens_Sneakers_Sporty_braced.jpeg,30,True,,
2,Off White Mini Skirt,women_off_white_mini_skirt,Trendy mini skirt in off white,29.99,products/women_off_white_mini_skirt.jpg,50,True,,
2,Red Jacket,women_red_jacket,Stylish red jacket,59.99,products/women_red_jacket.jpg,30,True,,
2,White Crop Top,women_white_crop-top,Comfortable white crop top,19.99,products/women_white_crop-top.jpg,70,True,,
2,Braced Sandals,Women_braced_sandals,Elegant braced sandals,34.99,products/Women_braced_sandals.jpeg,40,True,,
2,White Sneakers,women_white_sneakers,Casual white sneakers,49.99,products/women_white_sneakers.jpeg,30,True,,
2,Black Heels,women_black_heels,Classic black heels,59.99,products/women_black_heels.jpeg,25,True,,
2,Buttercup Corset Dress,women_buttercup_corset_dress,Beautiful corset dress,89.99,products/women_buttercup_corset_dress.jpeg,20,True,,
2,Button Up Shirt,women_button_up_shirt,Smart button-up shirt,29.99,products/women_button_up_shirt.jpeg,50,True,,
2,Converse Shoes,women_converse_shoes,Comfortable converse shoes,49.99,products/women_converse_shoes.jpeg,35,True,,
2,Cute Slippers,women_cute_slippers,Fun and cute slippers,19.99,products/women_cute_slippers.jpeg,60,True,,
2,Hourglass Dress,women_hourglass_dress,Flattering hourglass dress,79.99,products/women_hourglass_dress.jpeg,25,True,,
2,Pink Halter Dress,women_pink_halter_dress,Stylish pink halter dress,69.99,products/women_pink_halter_dress.jpeg,30,True,,
2,White Bow Sandal,women_white_bow_sandal,Elegant white bow sandals,34.99,products/women_white_bow_sandal.jpeg,40,True,,
2,White Strappy High Heel Ankle Strap Sandals,Women_White_Strappy_High_Heel_Ankle_Strap_Sandals,Fancy ankle strap heels,79.99,products/Women_White_Strappy_High_Heel_Ankle_Strap_Sandals.jpeg,20,True,,
2,Wide Leg Pants,women_wide_leg_pants,Comfortable wide-leg pants,39.99,products/women_wide_leg_pants.jpeg,50,True,,
2,Winter Wear Shoes,women_winter_wear_shoes,Warm winter shoes,59.99,products/women_winter_wear_shoes.jpeg,30,True,,
2,Winter Wear Shoes,women_winter_wear_shoes,Warm winter shoes,59.99,products\women_winter_wear_shoes.jpeg,30,True,,
